id,name,product_type,url,price,old_price,discount,in_stock,image_url,rating,reviews_count,utp,sizes,count_sizes,fabrics,count_fabrics,room_1,room_2,room_3,room_4,room_5,room_6
1598727,"Кровать металлическая Antica, цвет черный шагрень","Кровать металлическая",https://askona.ru/krovati/krovat-metallicheskaya-antica-black.htm?SELECTED_HASH_SIZE=140x200-f31354d6a581d0e5fec502eca8f49d2d,17050,27500,38,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-metallicheskaya-antica-black/antica_1.jpg,5,3,"Компактные габариты",140&times;200|160&times;200|180&times;200,4,,1,Спальня,,,,,
1598750,"Кровать металлическая Antica, цвет белый шагрень","Кровать металлическая",https://askona.ru/krovati/krovat-metallicheskaya-antica-white.htm?SELECTED_HASH_SIZE=140x200-f31354d6a581d0e5fec502eca8f49d2d,17050,27500,38,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-metallicheskaya-antica-white/metallicheskaya-antica_1.jpg,5,3,"Компактные габариты",140&times;200|90&times;200|180&times;200,4,,1,Спальня,,,,,
1604543,"Кровать из массива сосны Regina Extra, размер 90х200, цвет светлый орех","Кровать из массива сосны",https://askona.ru/krovati/regina-extra-light-walnut-90.htm?SELECTED_HASH_SIZE=90x200-64076ea5fa34605eff021e660aae5165,33060,34800,5,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/regina-extra-light-walnut-90/main.jpg,0,0,,90&times;200,1,,1,Спальня,,,,,
1612774,"Кровать Avril Compact",Кровать,https://askona.ru/krovati/avril-compact.htm?SELECTED_HASH_SIZE=140x200-f31354d6a581d0e5fec502eca8f49d2d&amp;SELECTED_FABRIC_ID=1612783,21129,48020,56,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/avril-compact/velutto-07/velutto.jpg,0,0,,140&times;200|160&times;200,2,"Velutto 07|Velutto 32|Velutto 52|Velutto 08|Velutto 48",5,Спальня,,,,,
1646144,"Кровать с подъемным механизмом  Elisa, размер 90х200см","Кровать с подъемным механизмом ",https://askona.ru/krovati/elisa-pm-90.htm?SELECTED_HASH_SIZE=90x200-64076ea5fa34605eff021e660aae5165&amp;SELECTED_FABRIC_ID=1335080,35820,114000,69,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/elisa-pm-90/elisa-pmm-90.jpg,5,4,"Объемная спинка",90&times;200,1,"Sky velvet 10|Sky Velvet 21|Casanova Grey|Casanova Rose|Casanova lilac|Sky Velvet 40|Enrich1 4007",73,Спальня,,,,,
1646141,"Кровать Elisa, размер 90х200см",Кровать,https://askona.ru/krovati/elisa-90.htm?SELECTED_HASH_SIZE=90x200-64076ea5fa34605eff021e660aae5165&amp;SELECTED_FABRIC_ID=1597153,29002,92300,69,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/elisa-90/elisaa-90.jpg,5,4,"Объемная спинка",90&times;200,1,"Aldo Beige|Sky Velvet 30|Sky Velvet 21|Aura 03|Armin 752|Casanova Grey|Sky Velvet 03",72,Спальня,,,,,
1541175,"Кровать  Istra, цвет Белый","Кровать ",https://askona.ru/krovati/krovat-istra-160.htm?SELECTED_HASH_SIZE=140x200-f31354d6a581d0e5fec502eca8f49d2d,16856,25540,34,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-istra-160/krovat-istra-160.jpg,4.9,11,,140&times;200|90&times;200|160&times;200,4,,1,Спальня,,,,,
1607332,"Кровать  Istra, цвет Дуб Венге","Кровать ",https://askona.ru/krovati/istra-160-venge.htm?SELECTED_HASH_SIZE=180x200-89a1c27869ae35e1ac37bd8e2916084a,23324,35340,34,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/istra-160-venge/istra.jpg,4.8,11,,180&times;200|160&times;200|140&times;200,4,,1,Спальня,,,,,
1607333,"Кровать Istra, цвет Сонома",Кровать,https://askona.ru/krovati/istra-160-dub.htm?SELECTED_HASH_SIZE=160x200-af13bfd624e1acd34f2103481efea402,19404,29400,34,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/istra-160-dub/istra-160-dub.jpg,4.9,11,,160&times;200|140&times;200|90&times;200,4,,1,Спальня,,,,,
1541171,"Кровать  Istra, цвет Белый","Кровать ",https://askona.ru/krovati/krovat-istra-90.htm?SELECTED_HASH_SIZE=90x200-64076ea5fa34605eff021e660aae5165,13266,20100,34,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-istra-90/istra-90.jpg,4.7,11,,90&times;200,1,,1,Спальня,,,,,
